ActivationState: Unactivated
ActivationStateAcknowledged: true
BasebandActivationTicketVersion: V2
BasebandCertId: 1421084145
BasebandChipID: 96
BasebandKeyHashInformation: 
 AKeyStatus: 0
 SKeyHash: u+/tcCwvaQ+1Y9t40I4yegCEmB28mALlaROhaIVGBWo=
 SKeyStatus: 0
BasebandMasterKeyHash: 8CB15EE4C8002199070D9500BB8FB183B02713A5CA2A6B92DB5E75CE15536182
BasebandRegionSKU: AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
BasebandSerialNumber: oAEYlDAYtNL4hKul
BasebandStatus: BBInfoAvailable
BasebandVersion: 6.03.01
BluetoothAddress: 60:f4:45:a1:aa:60
BoardId: 14
BrickState: true
BuildVersion: 19H218
CPUArchitecture: arm64
CarrierBundleInfoArray[1]: 
 0: 
  CFBundleIdentifier: com.apple.Mobilink_pk
  CFBundleVersion: 50.0
  IntegratedCircuitCardIdentity: 8992300001568551316
  InternationalMobileSubscriberIdentity: 410010156855131
  MCC: 410
  MNC: 01
  Slot: kOne
  kCTPostponementInfoAvailable: DefaultCarrierInfo
CertID: 1421084145
ChipID: 32784
ChipSerialNo: oAEYlDAYtNL4hKul
DeviceClass: iPhone
DeviceColor: 1
DeviceName: iPhone
DieID: 4567174413307174
EthernetAddress: 60:f4:45:a1:aa:61
FirmwareVersion: iBoot-7459.140.15
FusingStatus: 3
HardwareModel: D111AP
HardwarePlatform: t8010
HasSiDP: true
HostAttached: true
IntegratedCircuitCardIdentity: 8992300001568551316
InternationalMobileEquipmentIdentity: 359219079117597
InternationalMobileSubscriberIdentity: 410010156855131
InternationalMobileSubscriberIdentityOverride: false
MLBSerialNumber: F3Y6436010LGY4VB
MobileSubscriberCountryCode: 410
MobileSubscriberNetworkCode: 01
ModelNumber: MN592
NonVolatileRAM: 
 IONVRAM-SYNCNOW-PROPERTY: SU9OVlJBTS1TWU5DTk9XLVBST1BFUlRZ
 allow-root-hash-mismatch: MQ==
 auto-boot: dHJ1ZQ==
 backlight-level: MTQ4OQ==
 backlight-nits: MHgwMGFjMWJhNA==
 boot-args: 
 boot-breadcrumbs: NDAwNDAwMTEgNDAwNDAwMWMgNDAwMjkgMzAwMGQgNDAwMzYoMCkgPERPTkU+IDxDT01NSVQ+IDxCT09UPiAxYzAwMmIoMjAwNmQwMCkgMzAwMGMoNjk2MjY1NjMpIDQwMDQwMDFhIDQwMDQwMDEzIDQwMDQwMDExIDQwMDQwMDFjIDMwMDBkIDxET05FPiA8Q09NTUlUPiA8Qk9PVD4gMWMwMDJiKDIwMDZkMDApIDMwMDBjKDY5NjI2NTYzKSA0MDA0MDAxYSA0MDA0MDAxMyA0MDA0MDAxMSA0MDA0MDAxYyAzMDAwZCA8RE9ORT4gPENPTU1JVD4gPEJPT1Q+IDFjMDAyYigyMDA2ZDAwKSAzMDAwYyg2OTYyNjU2MykgNDAwNDAwMWEgNDAwNDAwMTMgNDAwNDAwMTEgNDAwNDAwMWMgMzAwMGQgPERPTkU+IDxDT01NSVQ+IDxCT09UPiAxYzAwMmIoMjAwNmQwMCkgMzAwMGMoNjM2ODY3MzApIDQwMDQwMDIxIDQwMDQwMDFlIDQwMDMwMDBlIDQwMDkwMDAxIDMwMDBjKDcyNjQ3NDcyKSA0MDA0MDAxMyA0MDA0MDAxMSA0MDA0MDAxYyA0MDAyOSAzMDAwZCAzMDAwYyg3NDcyNzM3NCkgNDAwNDAwMTMgNDAwNDAwMTEgNDAwNDAwMWMgMzAwMGQgMzAwMGMoNzI2YjcyNmUpIDQwMDQwMDEzIDQwMDQwMDExIDQwMDQwMDFjIDQwMDI5IDMwMDBkIDQwMDM2KDApIDxET05FPiA8Q09NTUlUPiA=
 bootdelay: MA==
 com.apple.System.tz0-size: MHhDMDAwMDA=
 fm-activation-locked: Tk8=
 fm-spstatus: WUVT
 obliteration: RUFDUyBEb25lIEAxNjcxNTE4NzQyLCBDYWxsZXI6IE4vQSwgVHlwZTogT2JsaXRlcmF0ZURhdGFQYXJ0aXRpb24sIFJlYXNvbjogVXNlci1SZXF1ZXN0ZWQgRXJhc2UgW2dGOiAweDAwMDAwMDAwMDQwMDAwODBd
 restored-exit-status: MHgxMDA=
PRIVersion_Major: 0
PRIVersion_Minor: 0
PRIVersion_ReleaseNo: 1
PairRecordProtectionClass: 4
PartitionType: GUID_partition_scheme
PasswordProtected: false
PhoneNumber: +92 324 9142337
PkHash: VLQF8XqmnPfsqK4yvw84POncQtTpCe5ZUT5p0WSdkVM=
ProductName: iPhone OS
ProductType: iPhone9,4
ProductVersion: 15.7.2
ProductionSOC: true
ProtocolVersion: 2
ProximitySensorCalibration: f3oABTIAHgA5NKZBObSAQQAAyEJUdJJBv302QQAAFkNUdJJBv302QQAAFkMULjBDM+HewI/ygkR7DINEKZSCRHGtgUS4HtJBhJ7WQWmA7UF9rvJBAAAgQkz39kIn8QJCAABIQs3co0OkUKNDTQ4FRg5NV0NxQFMeARwYDuZ3lEWL/IZDM0eWRQIAAAAAAABW
RegionInfo: LL/A
SIMStatus: kCTSIMSupportSIMStatusReady
SIMTrayStatus: kCTSIMSupportSIMTrayInsertedWithSIM
SerialNumber: DX8QWDEZFFG8
SoftwareBehavior: EQAAAAAAAAAAAAAAAAAAAA==
SoftwareBundleVersion: 
SupportedDeviceFamilies[1]: 
 0: 1
TelephonyCapability: true
TimeIntervalSince1970: 1674767671.007398
TimeZone: Asia/Karachi
